chl_a,turbidity,blue,green,red,re_1,re_2,re_3,re_4,swir_1,swir_2
10.61,14.54,1017,1198,815,1022,769,784,681,427,399
4.84,10.98,1216,1318,947,1053,814,828,709,474,419
4.64,67.36,1101,1274,910,893,459,479,337,173,142
5.70,20.42,1017,1183,772,725,308,326,186,48,32
6.50,42.86,825,1163,594,1092,691,713,502,197,161
6.61,46.63,1284,1563,1128,1413,882,894,676,378,342
5.61,34.35,1196,1481,936,1331,922,931,752,485,435
11.20,33.23,634,895,419,491,226,232,162,63,45
10.15,16.52,598,913,650,648,327,378,292,237,202
9.81,27.63,683,1071,678,863,442,481,336,196,177
5.56,49.31,1308,1822,1352,1509,853,938,705,410,364
5.25,29.31,852,1128,800,893,533,547,406,184,126
4.94,30.69,1038,1268,936,997,581,584,449,225,180
6.46,15.13,1040,1175,846,984,692,687,587,339,275
5.26,36.28,1045,1346,912,1145,739,731,581,339,277
5.45,29.05,922,1195,787,1063,699,708,528,254,196
4.83,30.91,920,1225,778,885,504,512,383,210,165
6.55,15.07,859,1155,689,670,337,334,252,114,87
5.45,36.15,877,1189,718,726,354,356,249,110,89
5.65,28.46,880,1096,730,726,443,451,379,247,204
4.78,29.80,873,1164,713,842,561,582,473,224,160
4.24,14.51,792,1076,708,692,375,390,320,208,180
5.30,13.12,583,846,548,545,274,284,221,146,127
6.66,13.97,507,778,472,494,212,230,166,82,67
6.61,12.36,511,768,497,482,211,228,159,84,74
5.08,9.15,506,731,464,448,265,271,222,159,133
9.17,38.88,708,991,732,834,355,372,225,84,77
6.10,30.82,677,940,675,729,301,310,197,87,79
10.71,49.07,673,935,789,953,467,485,306,102,89
10.33,40.88,674,959,717,875,405,413,267,108,103
7.35,31.40,636,894,652,729,285,296,184,77,70
11.19,39.77,682,946,740,857,395,403,262,112,106
10.93,39.31,646,913,701,836,376,383,239,90,86
11.35,40.93,669,925,711,839,374,390,244,90,88
8.51,34.98,676,950,708,793,330,334,208,76,78
11.60,39.56,662,944,692,875,406,413,263,105,100
10.42,32.48,694,1012,788,845,394,419,275,103,95
8.35,27.68,712,994,715,741,322,353,219,81,71
9.30,28.49,714,1038,765,784,340,370,238,88,79
7.98,28.64,724,1045,773,805,361,396,267,95,91
6.72,44.03,901,1148,885,870,362,396,213,30,37
8.95,28.76,893,1120,800,852,376,381,240,102,95
7.98,104.77,1201,1512,1365,1498,857,875,529,114,104
11.02,46.92,1074,1369,1009,1180,535,551,314,122,99
7.21,37.57,1024,1265,928,984,431,443,251,102,91
6.33,39.14,807,1060,814,847,351,357,199,46,43
