blue,green,red,re_1,re_2,re_3,re_4,swir_1,swir_2,G_over_R,G_over_B,B_over_R,B_over_NIR_plus_G,SABI,kab1,NDWI,MNDWI,NDMI,NDCI,CHL1,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,SVD1,SVD2,SVD3,SVD4,SVD5,SVD6,SVD7,SVD8,SVD9,SVD10,SVD11,SVD12,SVD13,SVD14,SVD15,SVD16,SVD17,SVD18,SVD19,blue_bin,green_bin,red_bin,re_1_bin,re_2_bin,re_3_bin,re_4_bin,swir_1_bin,swir_2_bin,G_over_R_bin,G_over_B_bin,B_over_R_bin,B_over_NIR_plus_G_bin,SABI_bin,kab1_bin,NDWI_bin,MNDWI_bin,NDMI_bin,NDCI_bin,CHL1_bin,PC1_bin,PC2_bin,PC3_bin,PC4_bin,PC5_bin,PC6_bin,PC7_bin,PC8_bin,PC9_bin,PC10_bin,PC11_bin,PC12_bin,PC13_bin,PC14_bin,PC15_bin,PC16_bin,PC17_bin,PC18_bin,PC19_bin,PC20_bin,SVD1_bin,SVD2_bin,SVD3_bin,SVD4_bin,SVD5_bin,SVD6_bin,SVD7_bin,SVD8_bin,SVD9_bin,SVD10_bin,SVD11_bin,SVD12_bin,SVD13_bin,SVD14_bin,SVD15_bin,SVD16_bin,SVD17_bin,SVD18_bin,SVD19_bin,chl_a
1017,1198,815,1022,769,784,681,427,399,1.46993865,1.177974435,1.247852761,1198.995108,0.093453725,11.07531504,0.079279279,0.500313087,-0.112683723,0.112683723,3.714975845,-0.064340834,0.131732937,0.084511865,0.279172378,-0.028574636,-0.084646615,0.014080806,-0.00065139,-0.007033299,0.021934307,-0.012802293,-0.006143649,0.008400383,0.000953311,-0.00795142,0.003473827,0.00069029,-0.002107967,3.60E-06,-6.80E-17,1.885389746,-0.056732774,-0.059062473,0.201118021,0.239114527,0.056494745,-0.070581914,0.015523538,0.007432811,-0.001038994,0.022242551,-0.012671082,0.007337825,-0.005066395,-0.002166965,-0.007637232,-0.003976924,-0.00138009,-0.002084017,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,10.61
1101,1274,910,893,459,479,337,173,142,1.4,1.157129882,1.20989011,1275.232923,-0.007157895,11.12766435,0.175819105,0.799435028,0.00942873,-0.00942873,-27,-0.159098667,-0.118863484,-0.265270395,0.068456472,-0.000250015,0.034165443,0.008386646,0.018466151,-0.020129631,0.014403905,0.004179566,-0.001993654,-0.006095736,-0.000205742,0.003806956,-0.002411305,0.004282027,0.000980037,-5.83E-07,-8.80E-17,2.062420135,-0.250877393,-0.111398043,-0.177627286,0.081182095,0.039440211,0.044469469,0.005450972,0.022943026,-0.003246623,0.014384375,0.004219111,-0.006348225,-0.001249588,0.001419021,0.003180812,0.000371469,0.004976785,0.000968143,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,4.64
1017,1183,772,725,308,326,186,48,32,1.53238342,1.163225172,1.317357513,1184.402759,-0.021363636,11.02768737,0.240041929,0.947325103,0.031396126,-0.031396126,-6.553191489,-0.351178671,-0.206608885,-0.39833261,0.14426182,0.040090122,0.074798217,-0.00749059,-0.001219726,-0.025007176,0.024630508,0.002919211,0.007218269,-0.004505816,-0.002205236,0.008883878,-0.005627893,0.008833278,0.006442177,-2.74E-06,5.72E-16,2.117661955,-0.488257117,-0.160275559,-0.23742003,0.130499836,0.089487999,0.079349777,-0.009761595,0.017150474,-0.016977482,0.02537418,0.002977921,-0.00321103,0.006895102,0.001407845,0.008823493,0.001973909,0.011100145,0.006393216,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,5.7
825,1163,594,1092,691,713,502,197,161,1.957912458,1.40969697,1.388888889,1163.755495,0.250503018,11.43818553,0.031485588,0.756797583,-0.295373665,0.295373665,1.387550201,-0.250323472,-0.173615707,0.428409811,0.766020849,-0.111297136,-0.195964863,-0.070776311,-0.015703197,0.031319975,0.020342583,-0.026100486,0.004326961,0.054156587,0.027889722,-0.004311083,0.017897418,0.024377001,0.034319617,4.42E-06,-4.80E-17,1.932673305,-0.286967508,0.349874738,0.446202138,0.690805648,0.142125026,-0.164920171,-0.0666786,-0.032497888,0.008915689,0.020688873,-0.025973589,0.054335303,0.000814459,0.023538381,-0.013042717,-0.027650465,0.013330672,0.034358741,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,6.5
1284,1563,1128,1413,882,894,676,378,342,1.385638298,1.21728972,1.138297872,1563.908705,0.100105374,11.55143006,0.050403226,0.640944882,-0.112160567,0.112160567,3.094736842,0.252398907,-0.09812829,0.089815757,0.211297273,-0.115530477,-0.060321097,0.002095595,0.002650089,0.017796623,0.014277815,-0.005853815,-0.002846871,0.004005115,-0.008373501,-0.000517172,-0.003745115,-0.010989798,0.004230681,1.18E-06,9.42E-17,2.097954758,0.186763437,0.124011215,0.053022512,0.239830239,-0.018132405,-0.04913618,0.002689036,-0.012270257,0.013754295,0.013585845,-0.005851444,0.003419957,-0.00441245,-0.007764593,0.002292618,0.008310126,-0.008134121,0.004231079,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,6.61
683,1071,678,863,442,481,336,196,177,1.579646018,1.568081991,1.007374631,1071.791425,0.105473204,11.55545238,0.107549121,0.716346154,-0.120051914,0.120051914,2.389189189,-0.321834805,-0.1756295,0.253913623,0.197128165,0.147775745,-0.07409168,-0.026677521,-0.000552907,0.002010626,-0.021524108,0.01257417,0.005263931,0.015597789,0.004392311,-0.003104793,0.006499328,-0.000914411,-0.000755073,-5.33E-06,2.05E-16,1.899888455,-0.352608238,0.261241221,0.200733277,0.095347588,0.18353792,-0.056308279,-0.025860427,-0.002576819,-0.001369254,-0.021474409,0.012512873,0.016296695,0.003558048,0.002526844,-0.003629063,-0.005485431,-0.003709751,-0.000738144,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,9.81
920,1225,778,885,504,512,383,210,165,1.574550129,1.331521739,1.18251928,1226.039548,0.04988345,11.38710311,0.161137441,0.762589928,-0.064341551,0.064341551,4.710280374,-0.219333228,-0.161028456,-0.045468012,0.224894457,0.089021589,-0.025271399,-0.005829316,-0.004240625,-0.006663959,0.008583167,-0.008119136,-0.007762627,0.009459539,0.002260267,-0.004766924,0.003197867,0.003897401,0.003963462,6.94E-07,3.43E-17,2.035772471,-0.303209919,0.047548479,0.019879004,0.161888772,0.152901015,-0.008421493,-0.006245587,2.64E-05,-0.012872875,0.010150163,-0.007900786,0.0081913,-0.005444863,0.000256748,-0.005202512,-0.004959073,0.001779697,0.003977057,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,4.83
877,1189,718,726,354,356,249,110,89,1.655988858,1.355758267,1.221448468,1190.207989,0.003872217,11.38300978,0.241775457,0.860719875,-0.005540166,0.005540166,44.25,-0.347501311,-0.246447111,-0.232779113,0.205217759,0.194187096,0.023831737,-0.000546171,-0.03131645,-0.009576385,0.010990168,0.001188124,-0.001976379,0.014184416,5.83E-05,0.003046328,-0.002316148,0.008550383,0.01053553,1.18E-06,-6.40E-17,2.126072581,-0.486722778,-0.034647398,-0.094322395,0.104691315,0.231662356,0.033976337,-5.70E-05,-0.011397128,-0.031584435,0.013891175,0.001476783,0.013862955,-0.000843926,0.001264936,0.002631287,-0.0013553,0.00898398,0.010507672,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,5.45
880,1096,730,726,443,451,379,247,204,1.501369863,1.245454545,1.205479452,1097.212121,-0.002024291,11.0673942,0.203073546,0.686153846,0.002747253,-0.002747253,-110.75,-0.315211352,-0.024635554,-0.20223921,0.118786673,0.146732674,0.017679317,0.010684748,0.069856441,-0.015221104,0.014424564,-0.006171645,-0.00272087,0.008194451,0.000351779,0.00192059,-0.004221967,0.003140521,1.72E-05,5.14E-07,-1.98E-18,1.949039181,-0.367410424,-0.146622598,-0.05620216,0.053544648,0.180208138,0.053333867,0.002866752,0.040845343,0.026260935,0.012126144,-0.006295996,0.007459791,-0.006775691,0.001468155,0.000595396,0.001992386,0.004301424,1.98E-05,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,5.65
583,846,548,545,274,284,221,146,127,1.54379562,1.451114923,1.063868613,847.0697248,-0.00209937,11.02337827,0.216391086,0.738951696,0.002744739,-0.002744739,-91.33333333,-0.576905105,-0.068264464,-0.081331593,0.049870303,0.258892654,0.041191358,-0.006907274,0.056827527,-0.004043788,-0.016744865,0.015818501,0.002131374,0.025116223,0.000399869,0.004388948,-0.002514215,-0.007580871,-0.000350755,2.84E-06,-5.22E-17,1.841670856,-0.605327037,-0.043008409,0.018849513,-0.069092476,0.235712017,0.070364594,-0.014134757,0.023724344,0.020401293,-0.018462382,0.015651882,0.024984116,-0.004407886,0.002221761,0.003470207,0.005511831,-0.005782673,-0.000343937,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,5.3
